non_overlapping_rank,modality,mean_cosine_distance,median_cosine_distance,ci_lower,ci_upper,n_transitions,n_genres
1,vgg19,0.5144562652177147,0.5224719412344333,0.472440606391703,0.5571080836699641,382,50
2,lyrics_tf_idf,0.4253910743940093,0.44390937363110455,0.3898425843413874,0.4626120250858891,402,50
3,essentia,0.2175466496408755,0.18954911963501403,0.18926476354547747,0.24574426236869842,402,50
4,word2vec,0.18601501378331747,0.18722172346200122,0.15997204454043193,0.21108473297160998,402,50
5,mfcc,0.1114020746717949,0.09907976324005624,0.09604880761862389,0.12818864784740597,402,50
6,musicnn,0.05445082546857791,0.049733479151882615,0.0464552836589916,0.06340335066668908,402,50
