modality,observed_mean_cosine_distance,observed_median_cosine_distance,observed_n_transitions,observed_n_genres,null_mean_cosine_distance,null_median_cosine_distance,null_p05_cosine_distance,null_p95_cosine_distance,null_n_pairings,observed_minus_null_mean
essentia,0.2175466496408755,0.18954911963501403,402,50,0.8223766227079845,0.8131320009658076,0.23274980183825128,1.4634366676997481,6000,-0.604829973067109
lyrics_tf_idf,0.4253910743940093,0.44390937363110455,402,50,0.640458486484799,0.656763128619823,0.3408267887495884,0.8805357959107967,6000,-0.21506741209078967
mfcc,0.1114020746717949,0.09907976324005624,402,50,0.39774844022637684,0.35817433303049434,0.10240648757114536,0.8154562491336481,6000,-0.2863463655545819
musicnn,0.05445082546857791,0.049733479151882615,402,50,0.43010975875588187,0.38456737237929517,0.0703500193279524,0.9266539959611131,6000,-0.37565893328730393
vgg19,0.5144562652177147,0.5224719412344333,382,50,0.9497354079743401,0.9457901344772066,0.4683046406732747,1.428673929583929,6000,-0.4352791427566254
word2vec,0.18601501378331747,0.18722172346200122,402,50,0.6149311535314599,0.5635092892858637,0.17615776569192534,1.2308055238482682,6000,-0.4289161397481424
