modality,mean_cosine_distance,median_cosine_distance,std_cosine_distance,mean_euclidean_distance,n_transitions,n_genres
vgg19,0.5144562652177147,0.5224719412344333,0.1546945407428208,19.162164647650396,382,50
lyrics_tf_idf,0.4253910743940093,0.44390937363110455,0.13051108493839253,5.26306053756122,402,50
essentia,0.2175466496408755,0.18954911963501403,0.10408281186964925,5.566505092978189,402,50
word2vec,0.18601501378331747,0.18722172346200122,0.09287238619474908,3.204160336642504,402,50
mfcc,0.1114020746717949,0.09907976324005624,0.05884267866595265,1.9775285992779355,402,50
musicnn,0.05445082546857791,0.049733479151882615,0.030561175985985,1.4982070718818912,402,50
