modality,n_transitions,n_genres,mean_cosine_distance,median_cosine_distance,std_cosine_distance,mean_euclidean_distance,median_euclidean_distance,std_euclidean_distance,median_tracks_t,median_tracks_t1
lyrics_tf_idf,2126,50,0.13895640415315727,0.1442101829418789,0.03811329791295371,2.3371526009221046,2.2422591724435224,0.5667446592462106,112.0,116.5
vgg19,2040,50,0.10616966591140291,0.1102765276419736,0.03468254324064056,8.123185993588775,7.972391874728201,1.5983054779086294,99.5,107.5
word2vec,2126,50,0.06351461837087997,0.06285010683325074,0.03482979539377199,1.3059292195271537,1.243030750802852,0.29745690690481885,112.0,116.5
mfcc,2126,50,0.05563702692756212,0.04784681623348179,0.032595836482463864,0.7739234718088429,0.776802559360263,0.21460124373898568,112.0,116.5
essentia,2126,50,0.05425389153939305,0.04667014225207612,0.02917945344948305,2.338798229624414,2.3444720297554786,0.4559703399587518,112.0,116.0
musicnn,2126,50,0.02568635063713241,0.020989020149547406,0.02134187884999172,0.5369206323730824,0.49683882385568123,0.1735117335211648,112.0,116.5
