modality,wpz_mean_cosine_distance,wpz_median_cosine_distance,wpz_mean_euclidean_distance,wpz_median_euclidean_distance,raw_mean_cosine_distance,raw_median_cosine_distance,raw_mean_euclidean_distance,raw_median_euclidean_distance
essentia,0.05425389153939305,0.04667014225207612,2.338798229624414,2.3444720297554786,0.0019701785305048275,3.482594096304581e-05,145670.19288294658,80367.37716890877
lyrics_tf_idf,0.13895640415315727,0.1442101829418789,2.3371526009221046,2.2422591724435224,0.04174471308095277,0.02994240974860235,0.06795890850539232,0.06011887427549436
mfcc,0.05563702692756212,0.04784681623348179,0.7739234718088429,0.776802559360263,0.0010993936529764122,0.0006058796237740638,17.155774123045283,14.223111937892552
musicnn,0.02568635063713241,0.020989020149547406,0.5369206323730824,0.49683882385568123,0.0026626992289771746,0.0011223956171378946,0.037926097349652625,0.03119419605663582
vgg19,0.10616966591140291,0.1102765276419736,8.123185993588775,7.972391874728201,0.004639511345965204,0.0025669716886366767,7.891632312700764,6.967400564374865
word2vec,0.06351461837087997,0.06285010683325074,1.3059292195271537,1.243030750802852,0.0016047626704981694,0.0009019959773966524,0.017987309387890806,0.015515301387139458
