window_start,window_end,window_label,n_tracks,n_genres,danceability,energy,key,mode,valence,tempo,duration_ms
1955,1959,1955_1959,327,11,0.5073394495412844,0.3061129357798165,5.045871559633028,0.7033639143730887,0.48401100917431195,113.62268501529053,223688.1376146789
1956,1960,1956_1960,360,12,0.5215555555555556,0.32668258333333333,5.061111111111111,0.675,0.5150727777777777,114.08128055555555,222793.375
1957,1961,1957_1961,336,14,0.521503869047619,0.33455068452380954,5.083333333333333,0.6845238095238095,0.5154238095238095,114.81225595238095,232839.66964285713
1958,1962,1958_1962,341,15,0.5205697947214076,0.35328143695014663,5.351906158357771,0.7126099706744868,0.5323703812316716,115.74893548387098,224673.862170088
1959,1963,1959_1963,375,15,0.5142888,0.3751844533333334,5.258666666666667,0.7066666666666667,0.5710002666666667,116.186312,215738.16
1960,1964,1960_1964,444,17,0.5172394144144145,0.4305288288288288,5.252252252252252,0.7522522522522522,0.6013405405405405,116.9169436936937,194339.53828828828
1961,1965,1961_1965,635,19,0.5137516535433071,0.47001700787401574,5.025196850393701,0.75748031496063,0.6087703937007874,117.60875905511811,190988.00157480314
1962,1966,1962_1966,815,22,0.5120895705521472,0.4907479754601227,4.993865030674846,0.7447852760736197,0.61734,118.3334245398773,185615.96196319017
1963,1967,1963_1967,1131,25,0.5041564986737401,0.491720866489832,5.030061892130858,0.7409372236958444,0.5945237842617153,118.14753404067197,190410.80725022106
1964,1968,1964_1968,1386,25,0.4999603174603175,0.5021587301587301,5.0937950937950935,0.7518037518037518,0.5812959595959596,118.37970634920634,195862.42352092353
1965,1969,1965_1969,1645,27,0.491093009118541,0.49709574468085105,5.065045592705167,0.7428571428571429,0.5642863829787234,117.5316820668693,209084.30212765958
1966,1970,1966_1970,1940,30,0.4880809278350515,0.4963714948453608,5.06701030927835,0.7422680412371134,0.5557270103092784,117.55943659793815,224495.48350515464
1967,1971,1967_1971,2179,30,0.4872680128499312,0.4940825653969711,5.0821477742083525,0.7430013767783387,0.545456264341441,117.21802340523176,237107.2285452042
1968,1972,1968_1972,2282,31,0.4932872480280455,0.5037062708150745,5.0687992988606485,0.7440841367221736,0.550208939526731,117.41772480280457,246309.14986853636
1969,1973,1969_1973,2460,32,0.49598841463414634,0.5190346788617886,5.076016260162602,0.7361788617886179,0.5504895528455285,118.36850081300813,253566.44390243903
1970,1974,1970_1974,2507,32,0.4999401276426007,0.5325480694056641,5.05584363781412,0.7287594734742721,0.5564286398085361,119.18043318707619,253970.63183087355
1971,1975,1971_1975,2396,33,0.5036880217028381,0.54282132721202,5.108931552587646,0.7237061769616027,0.55445367278798,119.78093238731219,255688.3021702838
1972,1976,1972_1976,2362,34,0.5078986028789162,0.5617678196443692,5.104995766299746,0.7116850127011007,0.561713717188823,120.65445385266723,255025.53048264183
1973,1977,1973_1977,2400,36,0.5106234166666667,0.5796984958333333,5.110416666666667,0.7029166666666666,0.5669236666666667,122.17767166666667,252882.73
1974,1978,1974_1978,2393,37,0.5191509402423735,0.5867490973673214,5.185541161721688,0.6924362724613455,0.5747595486836606,122.97498453823651,250217.2666109486
1975,1979,1975_1979,2569,38,0.5297803814713896,0.6053985169326587,5.291553133514986,0.6843129622421176,0.5841450369793694,124.30217866874271,247694.84040482677
1976,1980,1976_1980,2694,40,0.5395731997030438,0.6243626614699332,5.21789161098738,0.6844840386043058,0.5936833333333333,124.70664662212324,242804.58500371195
1977,1981,1977_1981,2798,41,0.5428974982130093,0.6384503431022159,5.214438884917798,0.6794138670478913,0.5963958541815583,125.4217280200143,239620.70943531094
1978,1982,1978_1982,2845,44,0.5461355360281195,0.6506014059753954,5.198594024604569,0.6727592267135325,0.5953608435852372,125.07247943760986,240808.8158172232
1979,1983,1979_1983,2827,49,0.5461100106119562,0.6666658365758755,5.101167315175097,0.6742129465864874,0.5948505482844004,124.96431446763354,242171.0282985497
1980,1984,1980_1984,2822,50,0.538988766832034,0.6786100566973777,5.097802976612332,0.669029057406095,0.5858417434443657,124.72948618001416,245865.81963146705
1981,1985,1981_1985,2895,50,0.5323225906735751,0.6883695578583765,5.154749568221071,0.6625215889464594,0.5765621761658031,124.86236373056995,248018.52297063902
1982,1986,1982_1986,2997,50,0.5298721054387721,0.6904477110443776,5.19019019019019,0.665331998665332,0.5623573573573574,123.94351484818151,250261.52352352353
1983,1987,1983_1987,3140,50,0.5223397452229299,0.6918587101910828,5.241401273885351,0.6694267515923567,0.5460289171974523,123.62917993630573,250446.28535031847
1984,1988,1984_1988,3221,50,0.5192546414157094,0.6914066376901583,5.31108351443651,0.6727724309220738,0.5359132257063024,123.07339459795094,251943.074821484
1985,1989,1985_1989,3314,50,0.517204103802052,0.6907329571514785,5.331623415811708,0.6780325890162945,0.5215190404345202,122.37748430899215,251280.8611949306
1986,1990,1986_1990,3392,50,0.5090588148584906,0.6833542806603773,5.384139150943396,0.6851415094339622,0.5036414504716981,121.82431132075472,252097.93425707548
1987,1991,1987_1991,3597,50,0.4998465943842091,0.6754931748679456,5.419516263552961,0.6919655268279121,0.4920528495968863,121.12247094801224,253635.49847094802
1988,1992,1988_1992,3732,50,0.49182374062165063,0.6730179662379422,5.407288317256163,0.6883708467309754,0.48246023579849945,121.42230493033226,256382.61468381566
1989,1993,1989_1993,4074,50,0.4844591556210113,0.6633370667648503,5.406480117820324,0.6865488463426608,0.4665718458517427,121.40185910652922,257219.85640648013
1990,1994,1990_1994,4420,50,0.47654248868778276,0.6556055142533938,5.37579185520362,0.6816742081447964,0.45545907239819006,121.4731597285068,258963.87488687783
1991,1995,1991_1995,4952,50,0.4773423465266559,0.6552412707996769,5.351978998384491,0.6771001615508885,0.45137776655896605,121.93506805331181,259985.61591276253
1992,1996,1992_1996,5152,50,0.48079671972049687,0.6553010234860248,5.312111801242236,0.6698369565217391,0.4505015916149068,122.44295069875777,261942.90139751552
1993,1997,1993_1997,5427,50,0.4888045881702598,0.6554360591855537,5.286530311405933,0.6731159019716234,0.45358888888888893,121.9072833978257,262408.8536944905
1994,1998,1994_1998,5670,50,0.4945171075837742,0.6639592702292769,5.256966490299823,0.6585537918871253,0.45173977248677244,121.59796366843034,262442.2559082892
1995,1999,1995_1999,5943,50,0.5070257782264849,0.6692810161871109,5.284872959784621,0.6599360592293454,0.458195694093892,121.1446602725896,261647.83190307926
1996,2000,1996_2000,6086,50,0.5165027932960894,0.671422837693066,5.316792638843247,0.6464015773907328,0.46497890404206377,120.65062602694708,258591.90897140978
1997,2001,1997_2001,6817,50,0.5180526184538653,0.6727079172949979,5.319495379199061,0.6398709109578994,0.46075426287223115,120.08207217250991,254163.50432741674
1998,2002,1998_2002,7542,50,0.5156207637231504,0.6773225181649429,5.341288782816229,0.6316626889419252,0.4530712423760276,120.02459798461948,252324.8804030761
1999,2003,1999_2003,8403,50,0.5146469356182316,0.6807075264786386,5.376056170415328,0.6327502082589551,0.45274093776032365,120.94624086635726,250748.2908485065
2000,2004,2000_2004,9163,50,0.5084464367565208,0.6842723491214668,5.367128669649678,0.6232674888137073,0.44668218923933206,121.81203950671178,248306.19655134782
2001,2005,2001_2005,10389,50,0.5048935412455482,0.6863539439792088,5.350851862546925,0.6241216671479449,0.444121898161517,122.6750535181442,248515.16103571086
2002,2006,2002_2006,11180,50,0.5028324776386404,0.691732013059034,5.355187835420393,0.6190518783542039,0.44080294275491955,123.51384525939177,247781.72227191413
2003,2007,2003_2007,12419,50,0.5009530155407038,0.6925267804171028,5.336903132297286,0.616072147515903,0.43945005233915774,124.19748643207988,247156.46936146228
2004,2008,2004_2008,13060,50,0.5027382771822358,0.6932044689663093,5.287289433384379,0.6154670750382848,0.44034067381316994,124.52521799387443,245723.9287136294
2005,2009,2005_2009,14187,50,0.5036005850426447,0.6966671382110382,5.2616479875942765,0.6198632550926905,0.43860753506731515,124.7065060266441,247098.69112567845
2006,2010,2006_2010,14895,50,0.5046203961060759,0.7012019356025512,5.259885867740852,0.6205438066465256,0.4354563880496811,124.67342215508559,246076.49687814704
2007,2011,2007_2011,16278,50,0.5057716918540361,0.6981609501535815,5.256972601056641,0.6239095712003931,0.43191918540361224,124.6006735471188,245735.15880329278
2008,2012,2008_2012,17037,50,0.5090276985384751,0.698828880471914,5.27722016786993,0.621294828901802,0.4292257445559664,124.44588431061807,244212.03375007337
2009,2013,2009_2013,18964,50,0.5079341752794769,0.6945126643060536,5.319763762919215,0.6176439569711032,0.42132872917106096,124.11229081417423,244601.06654714196
2010,2014,2010_2014,20411,50,0.5118468913820978,0.6853183862035177,5.332859732497183,0.6119739356229484,0.41772775072264956,123.65545916417618,243890.1769144089
2011,2015,2011_2015,21906,50,0.5146394458139323,0.6786321348854195,5.322194832465991,0.6064092029580936,0.4113546160869168,123.43986665753675,243786.9614260933
2012,2016,2012_2016,23773,50,0.5209357127834098,0.6750089026206201,5.325495309805241,0.6008917679720691,0.4091566537668784,122.84647036554074,241883.16346275187
