genre,window_start,window_end,window_label,n_tracks,major_share
black metal,2002,2006,2002_2006,171,0.5380116959064327
black metal,2003,2007,2003_2007,201,0.5522388059701493
black metal,2004,2008,2004_2008,209,0.5598086124401914
black metal,2005,2009,2005_2009,239,0.5690376569037657
black metal,2006,2010,2006_2010,283,0.558303886925795
black metal,2007,2011,2007_2011,278,0.5719424460431655
black metal,2008,2012,2008_2012,272,0.5772058823529411
black metal,2009,2013,2009_2013,305,0.5704918032786885
black metal,2010,2014,2010_2014,259,0.5714285714285714
black metal,2011,2015,2011_2015,229,0.5720524017467249
black metal,2012,2016,2012_2016,284,0.5880281690140845
black metal,2013,2017,2013_2017,281,0.5765124555160143
black metal,2014,2018,2014_2018,335,0.5970149253731343
black metal,2015,2019,2015_2019,337,0.6053412462908012
blues,1955,1959,1955_1959,43,0.7906976744186046
blues,1956,1960,1956_1960,53,0.7358490566037735
blues,1957,1961,1957_1961,47,0.723404255319149
blues,1958,1962,1958_1962,40,0.7
blues,1959,1963,1959_1963,29,0.6896551724137931
blues,1960,1964,1960_1964,36,0.6666666666666666
blues,1961,1965,1961_1965,55,0.7272727272727273
blues,1962,1966,1962_1966,67,0.7611940298507462
blues,1963,1967,1963_1967,86,0.7674418604651163
blues,1964,1968,1964_1968,109,0.7155963302752294
blues,1965,1969,1965_1969,123,0.6991869918699187
blues,1966,1970,1966_1970,121,0.71900826446281
blues,1967,1971,1967_1971,149,0.7114093959731543
blues,1968,1972,1968_1972,137,0.7299270072992701
blues,1969,1973,1969_1973,146,0.7876712328767124
blues,1970,1974,1970_1974,142,0.8028169014084507
blues,1971,1975,1971_1975,126,0.7857142857142857
blues,1972,1976,1972_1976,103,0.7766990291262136
blues,1973,1977,1973_1977,106,0.7830188679245284
blues,1974,1978,1974_1978,82,0.7439024390243902
blues,1975,1979,1975_1979,69,0.6956521739130435
blues,1976,1980,1976_1980,66,0.7121212121212122
blues,1977,1981,1977_1981,47,0.7021276595744681
blues,1978,1982,1978_1982,34,0.6176470588235294
blues,1979,1983,1979_1983,29,0.6206896551724138
blues,1980,1984,1980_1984,25,0.68
blues,1981,1985,1981_1985,32,0.65625
blues,1982,1986,1982_1986,38,0.631578947368421
blues,1983,1987,1983_1987,50,0.58
blues,1984,1988,1984_1988,48,0.5833333333333334
blues,1985,1989,1985_1989,58,0.6379310344827587
blues,1986,1990,1986_1990,54,0.6296296296296297
blues,1987,1991,1987_1991,52,0.6346153846153846
blues,1988,1992,1988_1992,68,0.6176470588235294
blues,1989,1993,1989_1993,75,0.64
blues,1990,1994,1990_1994,71,0.6338028169014085
blues,1991,1995,1991_1995,74,0.6621621621621622
blues,1992,1996,1992_1996,77,0.6883116883116883
blues,1993,1997,1993_1997,65,0.676923076923077
blues,1994,1998,1994_1998,59,0.6779661016949152
blues,1995,1999,1995_1999,67,0.7164179104477612
blues,1996,2000,1996_2000,66,0.6363636363636364
blues,1997,2001,1997_2001,69,0.6666666666666666
blues,1998,2002,1998_2002,95,0.7263157894736842
blues,1999,2003,1999_2003,102,0.7352941176470589
blues,2000,2004,2000_2004,106,0.6886792452830188
blues,2001,2005,2001_2005,111,0.7477477477477478
blues,2002,2006,2002_2006,129,0.7054263565891473
blues,2003,2007,2003_2007,114,0.7192982456140351
blues,2004,2008,2004_2008,115,0.6956521739130435
blues,2005,2009,2005_2009,110,0.7
blues,2006,2010,2006_2010,113,0.6902654867256637
blues,2007,2011,2007_2011,119,0.680672268907563
blues,2008,2012,2008_2012,117,0.6666666666666666
blues,2009,2013,2009_2013,124,0.6290322580645161
blues,2010,2014,2010_2014,134,0.6194029850746269
blues,2011,2015,2011_2015,148,0.6148648648648649
blues,2012,2016,2012_2016,167,0.6167664670658682
blues,2013,2017,2013_2017,178,0.601123595505618
blues,2014,2018,2014_2018,251,0.6175298804780877
blues,2015,2019,2015_2019,276,0.6268115942028986
bossa nova,1960,1964,1960_1964,20,0.35
bossa nova,1961,1965,1961_1965,31,0.3225806451612903
bossa nova,1962,1966,1962_1966,36,0.3611111111111111
bossa nova,1963,1967,1963_1967,47,0.44680851063829785
bossa nova,1964,1968,1964_1968,45,0.4666666666666667
bossa nova,1965,1969,1965_1969,47,0.425531914893617
bossa nova,1966,1970,1966_1970,43,0.5116279069767442
bossa nova,1967,1971,1967_1971,50,0.5
bossa nova,1968,1972,1968_1972,44,0.45454545454545453
bossa nova,1969,1973,1969_1973,46,0.5434782608695652
bossa nova,1970,1974,1970_1974,47,0.6382978723404256
bossa nova,1971,1975,1971_1975,46,0.6739130434782609
bossa nova,1972,1976,1972_1976,38,0.7105263157894737
bossa nova,1973,1977,1973_1977,34,0.7941176470588235
bossa nova,1974,1978,1974_1978,35,0.6571428571428571
bossa nova,1975,1979,1975_1979,28,0.6071428571428571
bossa nova,1976,1980,1976_1980,26,0.46153846153846156
bossa nova,1977,1981,1977_1981,28,0.5
bossa nova,1978,1982,1978_1982,27,0.48148148148148145
bossa nova,1979,1983,1979_1983,27,0.5555555555555556
bossa nova,1980,1984,1980_1984,26,0.5384615384615384
bossa nova,1981,1985,1981_1985,23,0.6086956521739131
bossa nova,1982,1986,1982_1986,21,0.6190476190476191
bossa nova,1983,1987,1983_1987,21,0.5714285714285714
bossa nova,1986,1990,1986_1990,22,0.6818181818181818
bossa nova,1987,1991,1987_1991,22,0.7272727272727273
bossa nova,1988,1992,1988_1992,21,0.7619047619047619
bossa nova,1989,1993,1989_1993,20,0.7
bossa nova,1990,1994,1990_1994,22,0.7272727272727273
bossa nova,1991,1995,1991_1995,20,0.8
bossa nova,1992,1996,1992_1996,20,0.65
bossa nova,1993,1997,1993_1997,23,0.5652173913043478
bossa nova,1994,1998,1994_1998,25,0.64
bossa nova,1995,1999,1995_1999,25,0.56
bossa nova,1996,2000,1996_2000,32,0.5625
bossa nova,1997,2001,1997_2001,31,0.5806451612903226
bossa nova,1998,2002,1998_2002,36,0.5
bossa nova,1999,2003,1999_2003,40,0.425
