genre,period,n_tracks,danceability,energy,valence,tempo,duration_ms
alternative rock,late,2615,0.47802906309751436,0.7587586462715105,0.41074,128.62010783938814,236589.66730401528
ambient,early,12,0.3272,0.3743916666666667,0.20806666666666665,117.38866666666667,593745.0833333334
ambient,late,2227,0.3984399640772339,0.40261477907498877,0.2045258688819039,111.76841625505165,300013.34979793447
black metal,early,1,0.462,0.4970000000000001,0.71,112.647,170107.0
black metal,late,982,0.2789751527494908,0.8304625254582484,0.1551161914460285,123.48560794297352,364772.3095723014
blues,early,344,0.5138459302325582,0.4633122093023256,0.5651366279069768,117.6378023255814,224864.1976744186
blues,late,626,0.5302747603833866,0.5478284345047923,0.4798006389776358,116.49026996805112,240204.29392971247
bossa nova,early,115,0.5113652173913044,0.3859678260869565,0.5416260869565217,119.21638260869565,184845.0956521739
bossa nova,late,281,0.5832669039145907,0.3872564412811388,0.4834569395017794,115.24746263345196,204968.8256227758
brazilian rock,early,6,0.49783333333333335,0.8101666666666666,0.6451666666666667,106.66483333333333,182757.0
brazilian rock,late,231,0.5096580086580086,0.7520952380952381,0.5524722943722944,125.64372294372295,224241.72727272726
classic rock,early,1074,0.5224292364990689,0.5752607076350094,0.6338754189944134,121.102656424581,209056.45996275605
classic rock,late,369,0.5165365853658537,0.624969647696477,0.5442777777777779,120.22845257452575,221136.9972899729
country,early,147,0.5657210884353742,0.37471292517006805,0.6146530612244898,113.07589795918366,181630.32653061225
country,late,1165,0.5572257510729614,0.6184125321888412,0.49237476394849783,122.02627381974249,218915.7948497854
death metal,late,965,0.3389864248704663,0.9372760621761658,0.21057233160621763,122.6690725388601,254365.88808290157
