genre,period,n_tracks,danceability,energy,valence,tempo,duration_ms
disco,early,22,0.5503181818181818,0.6906818181818182,0.7225909090909091,129.78645454545455,202032.45454545456
disco,late,378,0.691420634920635,0.7509343915343916,0.6884880952380952,120.57884391534391,256765.38624338625
doom metal,early,1,0.331,0.532,0.363,99.903,350124.0
doom metal,late,761,0.33155453350854136,0.7045758212877792,0.22129724047306173,119.62724047306176,387531.8567674113
dream pop,late,1067,0.5026819119025304,0.5687742268041237,0.3828222118088097,120.72464011246485,234975.30365510777
easy listening,early,86,0.4040348837209302,0.3060360465116279,0.3836244186046512,107.71403488372093,188555.03488372092
easy listening,late,198,0.5087676767676768,0.4767676767676768,0.41556363636363636,116.71367676767677,231908.14646464647
electronic,early,14,0.35800714285714286,0.5005,0.2349857142857143,114.6227142857143,355449.5714285714
electronic,late,5832,0.6107425582990398,0.6974971949074074,0.42714867969821674,123.78199674211248,250388.80658436214
experimental,early,58,0.45224137931034486,0.5455827586206896,0.4980586206896552,113.4943448275862,224839.2931034483
experimental,late,1888,0.4916149894067796,0.5949853230932204,0.34309110169491525,119.74800370762712,250500.50847457626
folk,early,119,0.5065042016806722,0.291581512605042,0.4810403361344538,116.69257983193278,203567.6050420168
folk,late,2302,0.5101469157254561,0.46071682450043444,0.37120373588184186,117.87643223284101,232275.46437880103
funk,early,162,0.6323518518518518,0.6303827160493827,0.7363253086419753,115.83438888888888,263016.012345679
funk,late,811,0.7029778051787916,0.6958701602959309,0.6573409371146733,117.89545622688038,225801.69297163995
glam rock,early,165,0.4586,0.6288969696969697,0.5582787878787879,123.9433090909091,230450.24848484847
glam rock,late,131,0.5181450381679389,0.8066030534351145,0.49842442748091603,125.75645801526719,229853.68702290076
gothic rock,late,328,0.45265243902439023,0.7802865853658536,0.3562457317073171,129.95548170731706,258647.34146341463
grunge,late,482,0.4340066390041494,0.7627592136929461,0.40553402489626555,128.9345684647303,239681.01037344398
hard rock,early,221,0.44900452488687786,0.6768257918552035,0.5344176470588236,124.22603167420814,263597.33936651587
hard rock,late,1367,0.4497518653986832,0.8559057644476956,0.4204318946598391,130.49240380395025,242382.81931236284
hardcore,late,1881,0.39605842636895267,0.9021458315257842,0.32407272727272723,131.2520696438065,212062.78256246677
hardcore punk,late,297,0.3488929292929293,0.9052888888888888,0.36035757575757577,133.83676094276095,168085.63973063973
indie rock,late,5026,0.4966411062475129,0.7210794607640271,0.4664168742538798,127.59028471945881,227055.38838042182
industrial,late,760,0.5173917105263157,0.7734430263157894,0.3570398684210526,124.43958947368421,280865.20657894737
jazz,early,408,0.4521063725490196,0.30515303921568626,0.393225,112.32453921568629,314725.76470588235
jazz,late,963,0.5428973001038422,0.45904570093457947,0.4302761163032191,115.41342367601246,257742.78089304257
latin,early,35,0.4992285714285714,0.47155142857142857,0.5588857142857143,114.38522857142857,209296.51428571428
latin,late,1032,0.6532645348837209,0.6878446705426357,0.5908452519379845,122.23650387596899,226685.32170542635
metal,early,26,0.36503846153846153,0.5369538461538462,0.4422307692307692,128.37,336856.26923076925
metal,late,1336,0.4175684880239521,0.8754720059880239,0.3162933383233533,128.243000748503,262091.8997005988
mpb,early,143,0.4925384615384615,0.48386503496503497,0.5675804195804196,113.56395104895105,188412.21678321678
mpb,late,1197,0.5819966583124477,0.49935781119465333,0.4917767752715121,120.1118454469507,225721.72514619882
new wave,late,530,0.5782396226415094,0.7383139433962265,0.5486775471698113,125.79709056603774,255367.94716981132
pop,early,156,0.509301282051282,0.5013589743589744,0.6016346153846154,117.21239743589743,180122.84615384616
pop,late,8749,0.6177999314207338,0.6869979940564636,0.523576202994628,121.32835421190993,220648.0477768888
pop rock,early,13,0.5190769230769231,0.5468846153846154,0.7100000000000001,127.318,213008.23076923078
pop rock,late,1423,0.543731553056922,0.7608307758257203,0.5055203794799719,129.21193042867182,219937.73506676036
