feature,genre,n_valid_windows,first_window,last_window,first_value,last_value,last_minus_first,mean_value,median_value
danceability,alternative rock,37,1979,2015,0.47100000000000003,0.4825669421487603,0.01156694214876025,0.47324252325923544,0.4728204633204633
danceability,ambient,43,1971,2015,0.34395,0.43730640326975473,0.09335640326975475,0.38856699631577607,0.37761117824773416
danceability,black metal,36,1980,2015,0.2358,0.2889759643916914,0.053175964391691366,0.2615005940421835,0.268961189516129
danceability,blues,61,1955,2015,0.5222558139534884,0.5376014492753622,0.01534563532187383,0.5357826904784361,0.5376014492753622
danceability,bossa nova,54,1960,2015,0.53695,0.585275,0.04832499999999995,0.5647378709937398,0.5715442660770931
danceability,brazilian rock,34,1982,2015,0.5699130434782609,0.5224489795918368,-0.0474640638864241,0.529151665608916,0.5252745016611295
danceability,classic rock,61,1955,2015,0.6062307692307692,0.49059322033898306,-0.11563754889178618,0.5429973118586677,0.5344
danceability,country,53,1955,2015,0.6768695652173913,0.5613885057471265,-0.11548105947026477,0.5726466426072222,0.5613885057471265
danceability,death metal,33,1983,2015,0.23420000000000002,0.3423969014084507,0.10819690140845067,0.30262239792140394,0.3240441048034935
danceability,disco,46,1970,2015,0.55655,0.6875614035087719,0.13101140350877194,0.6945635584024866,0.6986144315504755
danceability,doom metal,33,1983,2015,0.26361904761904764,0.33638405315614617,0.07276500553709853,0.3294008934839722,0.3327040740740741
danceability,dream pop,34,1982,2015,0.37044782608695653,0.5355249221183801,0.16507709603142356,0.42738087367193556,0.434607905982906
danceability,easy listening,47,1959,2015,0.40904347826086956,0.5055,0.09645652173913039,0.4765841237754217,0.5006315789473684
danceability,electronic,45,1971,2015,0.402605,0.6043612261469752,0.2017562261469752,0.6036785047620147,0.6120847826086956
danceability,experimental,52,1964,2015,0.44983333333333336,0.5136165580182529,0.06378322468491954,0.4758503127959226,0.4746307083333333
danceability,folk,57,1959,2015,0.50705,0.5186798748696558,0.011629874869655832,0.5117576056775175,0.510776955602537
danceability,funk,51,1965,2015,0.61285,0.7262995049504951,0.1134495049504951,0.674365387644302,0.6656777777777778
danceability,glam rock,39,1967,2015,0.46025,0.47666153846153847,0.016411538461538477,0.5407027177824647,0.5444
danceability,gothic rock,34,1977,2015,0.5171612903225806,0.44108823529411767,-0.07607305502846295,0.46020495254111055,0.45317852062588904
danceability,grunge,32,1984,2015,0.390815,0.4633179487179487,0.07250294871794866,0.407136352495128,0.41710747726992226
danceability,hard rock,51,1965,2015,0.444609756097561,0.4564781420765027,0.011868385978941742,0.44576041800966054,0.4481003717472119
danceability,hardcore,39,1977,2015,0.35245000000000004,0.4297945295404814,0.07734452954048138,0.370350628923921,0.36311180257510733
danceability,hardcore punk,32,1976,2015,0.38180000000000003,0.36123529411764704,-0.020564705882352985,0.3573388648544919,0.3536629536290323
danceability,indie rock,33,1983,2015,0.30466000000000004,0.511489464178206,0.2068294641782059,0.45626138426482116,0.4782971308016878
danceability,industrial,35,1981,2015,0.5711304347826087,0.507995951417004,-0.06313448336560468,0.5334988969223681,0.5239503496503496
danceability,jazz,61,1955,2015,0.45549162011173183,0.5359486842105263,0.0804570640987945,0.518401896781905,0.5336462585034013
danceability,latin,40,1965,2015,0.4473,0.6725951086956522,0.22529510869565222,0.6069462803184369,0.6371857242990655
danceability,metal,48,1968,2015,0.3794,0.42748019801980197,0.048080198019801956,0.38101137605590374,0.37937857142857145
danceability,mpb,53,1963,2015,0.43174999999999997,0.5914578833693305,0.1597078833693305,0.5526056756993949,0.5718865979381443
danceability,new wave,43,1973,2015,0.5949259259259259,0.5720088495575222,-0.022917076368403677,0.5901289541664473,0.5894415584415584
danceability,pop,57,1959,2015,0.5579545454545455,0.6238906602254428,0.06593611477089734,0.5892844896547513,0.6113390191897655
danceability,pop rock,32,1982,2015,0.6439523809523809,0.5512846846846847,-0.09266769626769622,0.5727274550406949,0.5550802214079675
danceability,post-hardcore,35,1981,2015,0.31166666666666665,0.4410409165302782,0.12937424986361157,0.3777043542787431,0.37457142857142856
danceability,post-punk,43,1973,2015,0.5319259259259259,0.4730313152400835,-0.0588946106858424,0.4892457561344237,0.4902036585365854
danceability,power metal,34,1981,2015,0.318625,0.4395568513119534,0.12093185131195339,0.3970865708782845,0.40241078431372546
danceability,progressive metal,32,1984,2015,0.33377619047619045,0.3980875283446712,0.06431133786848076,0.3672741890355104,0.37346884829539906
danceability,progressive rock,53,1963,2015,0.39324,0.4334056603773585,0.040165660377358525,0.4478906584859811,0.4291187050359712
danceability,psychedelic rock,48,1963,2015,0.463548076923077,0.4559939759036145,-0.007554101019462467,0.4328301804703975,0.43131287689156905
danceability,punk,47,1969,2015,0.40066666666666667,0.4885782971619365,0.08791163049526984,0.42699313010492024,0.4310658914728682
danceability,rap,32,1984,2015,0.7769565217391304,0.7041197263397948,-0.07283679539933563,0.7276855387175045,0.7368850900307422
danceability,reggae,42,1969,2015,0.7295357142857143,0.6948507462686567,-0.03468496801705756,0.7362958929807751,0.7305517241379311
danceability,rock,61,1955,2015,0.6136363636363636,0.5131834033613445,-0.10045296027501915,0.5116243512907409,0.49988461538461537
danceability,samba,42,1963,2015,0.5730999999999999,0.6014528301886792,0.02835283018867929,0.6056611735977252,0.6160655314757482
danceability,shoegaze,35,1981,2015,0.334968,0.44000019083969466,0.10503219083969467,0.37535978795148495,0.371378125
danceability,singer-songwriter,56,1960,2015,0.47185,0.5383970814132105,0.06654708141321053,0.5203618966437898,0.5239107787782915
danceability,soft rock,49,1967,2015,0.5297619047619048,0.594171875,0.06440997023809525,0.5612752893993443,0.5629
