window_start,window_end,window_label,n_tracks,n_genres,love,babi,want,blue,feel,man,well,like,pron,cri,yes,woman,life,let,light,breath,insid,everyth,never,old,fuck,littl,lose,sweet,away,one,take,wait,fall,darl,burn,alway,true,give,noth,make,end,blood,time,dark
1955,1959,1955_1959,327,11,0.0704214276773716,0.03714892275123692,0.017189142098516925,0.03333727369837839,0.015613508488972602,0.016345282611159785,0.03522530354266868,0.021464912751560566,0.007741278030915745,0.01771627422422592,0.012188779594042487,0.01179338711083623,0.008042158805812981,0.01731166618690956,0.0037496637445824446,0.0002821984141838777,0.0031518111794301192,0.00566652629757596,0.025941229613080742,0.018710591982685668,0.0,0.02155256585317007,0.006917155454209728,0.0121796017033788,0.010151514676197841,0.01699602986074817,0.01192349244081204,0.0022560822314654843,0.01456152721054686,0.009406297851262018,0.003952017940016354,0.01046678131892813,0.012735976216173998,0.009225527537763534,0.008552083876178139,0.016723762342494463,0.006073449347996699,0.0008075555806516373,0.016089387776499195,0.0028010913360825337
1956,1960,1956_1960,360,12,0.06781814865405757,0.03973505178558436,0.019378813113921776,0.028912741913462207,0.014661865050977399,0.017057874024424168,0.03561975331556065,0.020003672261529788,0.0074659111629447085,0.015585149577619702,0.01504361574360692,0.010556395723907604,0.008464730966611727,0.01642564174153788,0.002787447433622765,0.0002563302262170222,0.0021935786462670827,0.005408262356831565,0.020429369504157247,0.01842043045390767,0.0,0.021700380757998846,0.005939345991071943,0.014035639858265959,0.008030906349652062,0.018292514068775793,0.014124612541265279,0.0022757316858276998,0.013726746371494614,0.0117039856498231,0.0036479259793902176,0.008315911220767917,0.01394602457467037,0.009719187220437945,0.009480904381431152,0.018300575271750004,0.004965952094781944,0.0007335296524252372,0.017250677827293035,0.0028629002280077943
1957,1961,1957_1961,336,14,0.059462061313972164,0.03640847921697486,0.017534327912416752,0.022930216623051527,0.010120726694178383,0.019385258942745613,0.028685037980243657,0.01710527851683095,0.008075338170172816,0.0157641290616265,0.014259301213356649,0.009494267695177545,0.007962335031248224,0.015478250890614761,0.0033229085391268524,0.00044481144119399137,0.0011757515262971834,0.005297745451937748,0.018927632267814142,0.014350112618402891,0.0,0.021326110029665047,0.005909034649889546,0.01357608736280913,0.008364924824008687,0.019442392896412235,0.014663746425870424,0.00428060234859672,0.01277196648097099,0.012617451549906511,0.0026660425903291744,0.006479089128727643,0.014489919137844495,0.008577378672937529,0.009385660982722572,0.014103471343633843,0.004908252404636441,0.0007859246275984684,0.013963068715723951,0.0029213688657540858
1958,1962,1958_1962,341,15,0.06107279509131783,0.038806262080621975,0.018189562594072176,0.02316519774641004,0.010676248862022297,0.023595694324002898,0.030438871988707178,0.019200592206625525,0.009507920348993606,0.020758804996295545,0.011307762616200609,0.011837061750905147,0.006787784934943261,0.018683549219078235,0.00240486319770583,0.00043828927929965135,0.0011560386525187524,0.005184642013123453,0.02073261351035208,0.013269270725675396,0.0,0.020188265500839995,0.006106957870864754,0.012656558827671582,0.010345578951224763,0.019507454704056137,0.01702628226128037,0.005487384314819223,0.011917982306755396,0.01360547372351226,0.002949800446461779,0.0037879501385895582,0.014957891596432505,0.010816468908581699,0.009433272736536078,0.015229313614203547,0.00495612810771064,0.0,0.01498179152890696,0.0029948917484054196
1959,1963,1959_1963,375,15,0.06464845398076706,0.029369959159500872,0.01791347403349321,0.020825380934209842,0.008895024023109127,0.0181131177414614,0.027163346192146658,0.018821845664718655,0.006593513444502367,0.02776216615289487,0.011183928997143024,0.01001717853559668,0.007197859078895823,0.016842822123250407,0.002562069176516626,0.00024281145300857388,0.0013687038998086427,0.005670369705558172,0.017034367803490328,0.010132509977192663,0.0,0.019222009637834034,0.004144064014683338,0.009738426958720705,0.012240407897212329,0.018578652262118096,0.013767163980620918,0.005576035576920106,0.01273234325278076,0.00977215932297373,0.00410814912070066,0.0061922500459480785,0.01755585356991771,0.008710113985092622,0.008846554581889057,0.014062107194966358,0.005060028084790058,0.0003797505108613312,0.015171584601833002,0.0018177099601855919
1960,1964,1960_1964,444,17,0.07409384993406054,0.04111600221185693,0.023097563543709683,0.0201416414504141,0.012832898134886259,0.01908496679841534,0.02678319243912148,0.02047174481387711,0.008041122042691898,0.029731681693097506,0.015391292819710236,0.01103622187655618,0.00835505032585949,0.01891797684806117,0.004911744205335294,0.0003584396781330917,0.001738537512647419,0.005703514991069776,0.018586631833149556,0.010644805972856908,0.0,0.02364672462210182,0.0059577854373323025,0.010488985370565012,0.013326505295123657,0.022655571905547824,0.015383744773057286,0.00635547577485256,0.014213978691268619,0.01279911023618712,0.005019002145736611,0.0070932320390517,0.017122452513753758,0.014307690436597327,0.008434878054641149,0.019454833244676173,0.007157887785163073,0.00046896660256543805,0.020387537498666338,0.0031927310423372946
1961,1965,1961_1965,635,19,0.07485110355414713,0.04708035263765098,0.02904422281897175,0.019135386607320167,0.015885393758867956,0.020329432464974997,0.028135812520381963,0.02336447034363237,0.006668030158129796,0.028341985263032454,0.018240838302644235,0.011565832713457515,0.00964100920708575,0.01869621998651743,0.0055304060602830935,0.0004560583358240071,0.003622385463835699,0.006941360191214715,0.018201029957006294,0.011110579005346148,0.0,0.021080421471279788,0.007472156361044575,0.010420689614777377,0.013090236817606918,0.020009395559678626,0.012796138231185441,0.009271454254734865,0.013643326056081533,0.008892177012851242,0.0039891384887686876,0.0067353836530313635,0.015926672035935074,0.014527934628172985,0.006684349108354367,0.020192845486739254,0.00750430382917792,0.0010225927211891014,0.023361076891178584,0.0034249633156495374
1962,1966,1962_1966,815,22,0.07490456766498069,0.04748180431852556,0.033506893058952346,0.016516362615671767,0.017249609525959442,0.022027213615182818,0.026260655842619482,0.02396263774020433,0.006947625830749678,0.0265825442132303,0.019022434607919598,0.012656775611838565,0.01118933631120251,0.01760310938674044,0.005772414080207645,0.0004009967234437815,0.004008643527799109,0.008680281694903466,0.019252173590190436,0.011261196548616553,0.0,0.018878258095563136,0.008583908471242506,0.012873902811072684,0.013981648846923196,0.021976348059068233,0.01706821405887922,0.010705358306979556,0.011152690590667416,0.008146896788225501,0.003478428836341074,0.007343672625042018,0.015046180101394685,0.014415435687155413,0.008379157284973576,0.02233030860893364,0.008310927519613003,0.000991422922311955,0.024214879283893886,0.004444066227508186
1963,1967,1963_1967,1131,25,0.06985438021477708,0.04041376474253783,0.029962931017539017,0.016428914153247525,0.01770946501042118,0.023242806647140783,0.025103787524733797,0.022925805764770223,0.008180982646451644,0.020759874000064158,0.019741861122814907,0.011461577340977405,0.012561637261721041,0.017993979149533875,0.007250093905746259,0.0016638583389330976,0.004490997281601787,0.00838636571470017,0.018650517677520597,0.013372563466504927,0.0,0.018847003422737856,0.009478289498595076,0.012219347081110478,0.0139965760683293,0.021019871684199287,0.019115479516090956,0.011864629213229644,0.01030191902752001,0.0070270654150569175,0.003133323919843801,0.008147460034185039,0.011693137085046962,0.013359802987868702,0.010115845998761966,0.02223653781810982,0.008734449510407853,0.0016980267648225877,0.025666532140496193,0.004507061999382304
1964,1968,1964_1968,1386,25,0.06643802849988022,0.04434390485040044,0.029543733115984194,0.014274756529160175,0.01773978545515883,0.024156247058430082,0.02512690279887989,0.022267297452968203,0.008762988533694971,0.01765756272555682,0.019325319520690543,0.013475661232938297,0.014571162189442067,0.0177792763953622,0.007610756149833971,0.0018174096331949605,0.004599862288251745,0.008208367513201921,0.01758474228068894,0.014009738725331561,0.0,0.01900048388442251,0.009264779757664675,0.013159413557026708,0.01470510262383412,0.022035865679239732,0.022092780708625786,0.012611024253292455,0.008763961759438764,0.00705745341773055,0.0032461724116718397,0.007562351972117343,0.01016977170743842,0.013221888410798268,0.009373550260634052,0.022776705841420625,0.008070997741358539,0.0014715574121749809,0.02829281130281167,0.005480750960655267
