genre,window_start,window_end,window_label,n_tracks,love,babi,want,blue,feel,man,well,like,pron,cri,yes,woman,life,let,light,breath,insid,everyth,never,old,fuck,littl,lose,sweet,away,one,take,wait,fall,darl,burn,alway,true,give,noth,make,end,blood,time,dark,eligible_window
blues,1955,1959,1955_1959,43,0.07390463236728606,0.3832450262467282,0.1944586780729434,0.13151024769132363,-0.002402978476526396,0.5260483606756807,0.42840870962767164,-0.06322016879402462,-0.14611325819059587,0.17949689863477025,0.4967168581126645,0.3179610410986987,0.0831082659637816,-0.050128083344576996,0.1226959133505817,-0.07579904127357182,0.22018817929448084,0.2863191279520655,-0.12832437203092945,-0.10537725720445867,0.0,0.15904666364723122,0.09341801801401876,0.008017047972872383,0.04032847510836212,0.4003304377115878,0.1642895302529246,-0.008337851500192098,0.12662886137983514,-0.02133383562420679,-0.05130357554084542,-0.028166599733132635,-0.03701286977299182,0.19359878217113385,-0.0654023877509169,0.39268739336750125,0.007063245490145274,0.36579779599201384,-0.09193841419315886,-0.1274344910972129,True
bossa nova,1955,1959,1955_1959,1,-0.5889656754829513,-0.35384584996580554,2.3611872191244285,-0.32428112407528775,-0.282071546776327,0.8180930629922506,-0.3902294936072448,-0.4748916382666924,-0.20747752727230806,-0.23732595563670608,-0.26746126900013084,-0.18973793398167932,-0.2931844147114781,-0.30744226532468805,-0.18268644640719311,-0.07579904127357182,-0.16733115686657174,-0.1897939631858509,3.9568845792821365,-0.2882239845101123,0.0,1.987497714537242,-0.2335150388047197,-0.2587254844422134,-0.301221706906026,-0.4061244644145338,2.6209002319053543,-0.1402683393861982,-0.24367351621198383,-0.19076908665793546,-0.16256181903128855,3.0323928553461563,-0.21923671170791814,8.057246703901088,-0.2082329287194411,0.7084677868894594,-0.20274500877748505,-0.05538487756217113,-0.3277791140081964,-0.1274344910972129,False
classic rock,1955,1959,1955_1959,26,-0.10111028647222826,0.38752026903698206,0.2748137923178673,0.09754257473366976,-0.16438669849027412,0.11802818556874795,0.518805477492224,0.175037339759295,0.2381338880622232,0.06276921809319211,-0.26746126900013084,0.4376117474115435,-0.2931844147114781,0.32869905518204273,-0.1241649938403241,-0.07579904127357182,0.1003944854524225,-0.05527931712384788,-0.19315183372418526,-0.030882400718871952,0.0,0.10073733598966869,-0.007942974929511296,0.37611332675641695,0.1995553405420842,-0.1930112876387991,0.32498957778302306,-0.1402683393861982,-0.24367351621198383,0.08927205477857474,-0.16256181903128855,0.09440093340290473,-0.15044413206339674,-0.14028814038072732,-0.07382336981958715,-0.22910957171900184,-0.14211745688505745,-0.05538487756217113,-0.03413542097165241,-0.1274344910972129,True
country,1955,1959,1955_1959,23,-0.06890942310749713,-0.21885625076320495,-0.1806797991521852,0.0003306925389820687,-0.08054545957176887,0.6174488222312422,-0.02510053232227996,0.09702188137125986,-0.20747752727230803,-0.09556479870949368,-0.1078433476513795,-0.1357242678521455,0.49563187684317295,-0.19753402184143298,-0.06922004964239885,0.31982279380959977,-0.16733115686657174,0.05190484260218429,-0.13173655202196458,0.37128149871599053,0.0,0.028323710698869815,0.037554433631673725,-0.13235579632298888,0.5397570816382068,0.8621951094993786,0.395273488013889,0.07779539986315101,0.006617697337842227,0.22672151574897773,0.6551445388594709,-0.046487245335316806,-0.057699328859520074,0.34705736786534197,0.13196625200996778,0.31718452443531103,0.2941950383825496,-0.05538487756217113,-0.037263216553230595,0.16459106217574837,True
easy listening,1955,1959,1955_1959,9,-0.20597954058818643,-0.26766772959936286,0.06212249344412969,-0.257980668981741,0.784026100044528,-0.2379898014410762,-0.26370064428641626,0.20817465230816992,0.02739023005262902,-0.2373259556367061,-0.07667208981993381,-0.18973793398167932,-0.2931844147114781,0.32790282845590585,-0.18268644640719311,-0.07579904127357182,-0.16733115686657174,0.14862039124603954,0.1969715205362683,-0.1242059327492562,0.0,0.40230918202063604,0.21306697046453868,0.0370413724458004,1.2154933471920923,-0.4061244644145338,-0.11128677562333172,-0.1402683393861982,-0.24367351621198383,-0.19076908665793546,-0.16256181903128855,-0.24487458522142594,-0.21923671170791814,0.176529262620027,-0.2082329287194411,0.7244709946888599,-0.20274500877748505,-0.05538487756217113,-0.016658208891170517,-0.1274344910972129,False
folk,1955,1959,1955_1959,1,0.14061096964903189,1.489292264637638,-0.23035718226378754,-0.32428112407528775,7.329505093803789,-0.2379898014410762,-0.3902294936072448,-0.4748916382666924,-0.20747752727230806,-0.23732595563670608,-0.26746126900013084,-0.18973793398167932,-0.2931844147114781,-0.30744226532468805,-0.18268644640719311,-0.07579904127357182,-0.16733115686657174,-0.1897939631858509,-0.34406651491450424,-0.2882239845101123,0.0,-0.33355918694549364,-0.2335150388047197,-0.2587254844422134,-0.301221706906026,1.8343737042810504,-0.3417732686990627,-0.1402683393861982,-0.24367351621198383,-0.19076908665793546,-0.16256181903128855,-0.24487458522142597,-0.21923671170791814,3.519618517862211,-0.2082329287194411,-0.35726777404803467,-0.20274500877748505,-0.05538487756217113,-0.3277791140081964,-0.1274344910972129,False
jazz,1955,1959,1955_1959,179,-0.07499097328140009,-0.21146328486976945,-0.11605768031114164,-0.04837352098452542,-0.059660230255251315,-0.16157130418770532,-0.26532576305517097,-0.027226087579358925,-0.01231059523928378,-0.09834189790432762,-0.15548902318091168,-0.16698413257491052,0.0050071867727411205,-0.08477287986530962,-0.04298826768521372,0.011837742466903263,-0.04067260231001995,-0.05207406409102064,0.042750780648724285,-0.03718559563890395,0.0,-0.10576507065958135,0.006096652532042896,-0.04050559954489656,-0.15893529983215185,-0.20586024517474802,-0.09712315777991358,0.002959999682485214,0.049733634043418254,-0.06140599626152638,-0.003763587346683006,-0.07395320002585315,-0.13216565128210656,-0.1425073625303963,0.03705330718853443,-0.1326578811538783,-0.06960703669489755,-0.055384877562171135,-0.09017679674214094,-0.008484972659497105,True
mpb,1955,1959,1955_1959,1,-0.5889656754829513,-0.35384584996580554,-0.23035718226378754,-0.32428112407528775,-0.282071546776327,-0.12800039221015097,-0.3902294936072448,-0.3699888693517287,-0.20747752727230806,-0.23732595563670608,-0.26746126900013084,-0.18973793398167932,-0.2931844147114781,-0.20317784086890464,-0.18268644640719311,-0.07579904127357182,-0.16733115686657174,-0.1897939631858509,-0.34406651491450424,-0.2882239845101123,0.0,-0.33355918694549364,-0.2335150388047197,-0.2587254844422134,-0.301221706906026,-0.4061244644145338,-0.18749432002468505,0.33223439221717777,-0.24367351621198383,-0.19076908665793546,-0.16256181903128855,-0.24487458522142597,-0.21923671170791814,1.8657780548870644,-0.2082329287194411,-0.35726777404803467,-0.20274500877748505,-0.05538487756217113,-0.3277791140081964,-0.1274344910972129,False
pop,1955,1959,1955_1959,2,-0.5889656754829513,-0.35384584996580554,-0.23035718226378754,-0.32428112407528775,-0.282071546776327,-0.2379898014410762,-0.3902294936072448,0.4400446682608262,1.2923196779396238,-0.23732595563670608,0.36011420274298045,-0.18973793398167932,-0.2931844147114781,-0.30744226532468805,-0.18268644640719311,-0.07579904127357182,-0.16733115686657174,-0.1897939631858509,-0.34406651491450424,0.10026905741050085,0.0,-0.33355918694549364,-0.2335150388047197,-0.2587254844422134,-0.301221706906026,-0.1519270230068159,-0.3417732686990627,-0.1402683393861982,-0.24367351621198383,-0.19076908665793546,-0.16256181903128855,-0.24487458522142597,-0.21923671170791814,2.220833175325133,-0.2082329287194411,0.28811145176102676,-0.20274500877748505,-0.05538487756217113,-0.3277791140081964,-0.1274344910972129,False
rock,1955,1959,1955_1959,22,0.4515009346280282,0.5981022673722235,0.3981967227961732,0.2132008009935177,0.07938867146983865,-0.2379898014410762,0.9643354127930631,-0.06023048557307307,0.15600766173889666,0.4764675555621675,0.46422252355423504,-0.08020851650953056,0.006860290860196844,0.12801655903914114,-0.1826864464071931,-0.07579904127357182,-0.036169763841021024,-0.11258769900132483,0.21226584603253676,0.015611895740234054,0.0,0.3341262617764568,-0.08387440760284302,-0.21384282523807438,-0.13337202882158794,-0.03925677215831731,-0.1705721945119051,-0.1402683393861982,-0.24367351621198383,0.3074916270280881,-0.11067633493535953,0.390951195840492,1.418747117620387,-0.25881008687422347,0.09744836736739929,0.19760076849261798,0.09035514449923822,-0.055384877562171135,0.25425945169024544,-0.1274344910972129,True
