genre,window_start,window_end,window_label,n_tracks,love,babi,want,blue,feel,man,well,like,pron,cri,yes,woman,life,let,light,breath,insid,everyth,never,old,fuck,littl,lose,sweet,away,one,take,wait,fall,darl,burn,alway,true,give,noth,make,end,blood,time,dark,eligible_window
soundtrack,1995,1999,1995_1999,135,0.05948748044943047,0.010711063562007557,0.02809439112416927,0.004675577968510096,0.021451780899770866,0.019072072506153934,0.011082642291458583,0.022347147878398612,0.008894880625761832,0.007498518302396507,0.005793751797169623,0.0026636574330912164,0.026786690784393885,0.015077967056005942,0.009221478981397021,0.006973983375280408,0.004747857625855005,0.005013068591347729,0.02102757393325633,0.005410152821447382,0.0,0.013774108548605724,0.008189146638050093,0.010239038735810791,0.012055320762164161,0.01972427603348038,0.022676093756714057,0.007729011416652683,0.007202335429659463,0.004488224260087909,0.004444550765056199,0.01455198034020133,0.004036758440347101,0.009685345154474575,0.007136621427707356,0.014185881005791183,0.008263517572412046,0.005157950387847791,0.023330479866097396,0.004960164868651692,True
soundtrack,1996,2000,1996_2000,140,0.04794332078669207,0.009357571267798126,0.026583055772552506,0.004489614206198137,0.015017292928921492,0.01560243986815663,0.010010457223248384,0.017142817884193334,0.009625287207701855,0.004030821488128681,0.005084775234437957,0.001298408925417138,0.022084278916851403,0.012380326245423802,0.008742314982479679,0.00871771725305208,0.004321287289507508,0.0042215817728730246,0.014291688365777985,0.004262064254038323,0.0,0.01490675714791217,0.006281086892453825,0.009880185910058471,0.01043256516544986,0.019941866568115908,0.02205861281864962,0.008140022363968182,0.011485357193099474,0.005064813743103416,0.0037824692289829057,0.014508330898902841,0.004566226987708195,0.00874308334926743,0.010785864526757134,0.014306495536914324,0.0031959087278155785,0.004973737873996084,0.02306558047161975,0.0046250616102077756,True
soundtrack,1997,2001,1997_2001,213,0.03421803967631526,0.004596171742600361,0.01880307558900996,0.0035860727227579946,0.014066155319141141,0.012508568164183368,0.01002114190738375,0.015624024748973257,0.00798651550651964,0.003241592906959296,0.002469642423990767,0.0009797666099249191,0.014680702864921777,0.008556276742873448,0.006588168289920287,0.005939665266787168,0.008404889397950838,0.0030740011815342063,0.013308606929974189,0.0040440219003146285,0.0,0.007355382301068843,0.0040752825604456365,0.006522667655021894,0.00879204875665295,0.015785674879228193,0.017731137582279646,0.005817847693329298,0.008888852495262448,0.0033289855588473157,0.005287454296120593,0.009294069544341995,0.0038363364247671686,0.0069355887975939,0.007396542368823144,0.012689666176985711,0.0021450913010960825,0.0029306821371779227,0.01780432938883417,0.00456826348242393,True
soundtrack,1998,2002,1998_2002,242,0.027437783864350605,0.005717229281706053,0.018700764691621654,0.0020977528432645554,0.013570988185165792,0.010341573420634633,0.00836129780353466,0.014650938107959687,0.006175849953234908,0.005268258702334223,0.0021736935384712125,0.0007797108268648078,0.01480551163403364,0.008550233390714122,0.00579342620143192,0.005227887197626723,0.009449076843162268,0.0021353909689455206,0.015970715620448415,0.0037054834563439065,0.0008504773458487314,0.004988566130010523,0.004891885853104453,0.004574737248481523,0.009156660079716281,0.013982494479948647,0.013720911874272676,0.005169580142242115,0.009619952738373789,0.00042629606992814216,0.0037759594608146275,0.010064299200605743,0.004093118856906596,0.008156448154865891,0.007902589172962628,0.011612149271682293,0.005698074438744111,0.003709721481398399,0.013086698068481565,0.0047250091253463805,True
soundtrack,1999,2003,1999_2003,281,0.028818241525884875,0.007079688119168668,0.017555231776589433,0.003217939255533847,0.01061016949534871,0.008406266853320672,0.008567689859289736,0.014050366356948346,0.007982551609182851,0.007159381019736894,0.004088223176281725,0.0007582515975716403,0.014334404381549915,0.011025121489041122,0.0044909554780970945,0.004213535416802578,0.008239506475555276,0.0020983791361428384,0.015222886954154918,0.004038472472104586,0.0008101248751626262,0.005377582648248901,0.004311805599811988,0.00232406923242244,0.012162488996296612,0.01339265251274405,0.014981557577611557,0.006079457079119348,0.01093280028963198,0.0003671304232121367,0.0032518939128723836,0.010312548791812202,0.003491514218592502,0.009182392543768438,0.008385595572743763,0.011489634426292533,0.00581899740717894,0.0035871191048635525,0.012686438793629273,0.004378182566798327,True
soundtrack,2000,2004,2000_2004,311,0.02138470255435098,0.0077008878933934035,0.015633477159977798,0.0028079213292429945,0.011718711617508114,0.007157647574372034,0.007933269812037345,0.01150951450514769,0.008979087913841298,0.006666167952626136,0.0050440390050899555,0.0004197906323969023,0.009702055584426354,0.012056546153757479,0.005745961898649217,0.0019047390960204521,0.007659626469277351,0.002249368600878611,0.01520026840199211,0.0024141134479448317,0.0007319777810954919,0.004792782995121907,0.0026533972736236338,0.0028434881627831038,0.009987468712425824,0.014691366775168893,0.01134954465890315,0.006039413096478277,0.010777918854908027,0.0003317159129344386,0.00394507068140454,0.007846890312976963,0.0037337842202672562,0.010455558271643458,0.007056453536521016,0.010553604762890552,0.006200949413496162,0.001636038712074917,0.009731211776660446,0.005308010820139286,True
soundtrack,2001,2005,2001_2005,333,0.022341527426504526,0.006586780739533667,0.015536106526942393,0.003479331531981953,0.011824937644950607,0.006932594065325293,0.010017857215048638,0.012316406411681557,0.009161799250046279,0.006638636387627889,0.004376738387210783,0.0009931246394569043,0.010658809087952675,0.012862437772532797,0.00655819006692197,0.0014926672808033804,0.007407325387883468,0.0026237014066949308,0.018145432053969936,0.002429711229607129,0.0009102355441001967,0.004354525222961272,0.004083536788567409,0.00267094764168695,0.010385289542407639,0.013085621996203759,0.010618854393043093,0.005148303127379501,0.008940727108058889,0.0,0.0042154202954283555,0.005462138967352975,0.0037672999163410126,0.012318979243443535,0.005252326779763723,0.008815658996826658,0.0063658378009229305,0.002201667105410935,0.008361127023211136,0.005088395160367686,True
soundtrack,2002,2006,2002_2006,298,0.02632820609327844,0.009829078043672316,0.016288591643003992,0.0044799535739117324,0.011335617030700433,0.008653807459550637,0.010443726082217364,0.013963266648104525,0.011212570211328616,0.007588197137917349,0.00497671844630892,0.001137402477394024,0.012695203504180937,0.014757566823448889,0.007858710998069904,0.0015858504890830882,0.005648607920878605,0.006096477240925414,0.021257583225517258,0.002894451192103622,0.0010171424033065955,0.0061254184319325024,0.007281561811970892,0.003861879412149731,0.012548481533357093,0.0175642213036691,0.01078536650169149,0.007017610803723412,0.009154920967217789,0.00022701709779898623,0.004637437141746448,0.0066278747625991095,0.004191565851911425,0.013445165236328483,0.006670680106519209,0.009339216969183784,0.00870069685919717,0.0028821257651596884,0.012608214547637744,0.0045150400823704695,True
soundtrack,2003,2007,2003_2007,311,0.028640642787050814,0.00939153788470078,0.018485249127512815,0.006860864353781506,0.01260242424424304,0.01100908369192198,0.011107118725215186,0.01669455288622942,0.011688255389846438,0.0056112937110593935,0.005653302889486412,0.0012654904267761602,0.013548519557531821,0.018272623361239942,0.00860355811583578,0.0028812855643552335,0.005720323736406951,0.0054865629000437725,0.020055054283460393,0.002455005998571355,0.000615626096042846,0.006548139660802585,0.006697770560725221,0.004001321452262545,0.011618209304697352,0.01768420407867694,0.01258588653912175,0.008497478236306663,0.013745563160466018,0.00035327460150956524,0.005768153882228537,0.006245386375584707,0.004741095364447307,0.012758430059172331,0.006368370047188488,0.010526140661330752,0.0057115914529231645,0.0025064248466748185,0.015682992603293595,0.004268538605922646,True
soundtrack,2004,2008,2004_2008,290,0.027098476539465264,0.010774304072079998,0.01897562011263642,0.007343306382255081,0.01569470004607757,0.010218200609361764,0.01040998842282764,0.021230532247725392,0.01002385664289243,0.005260587892762275,0.005111300970503447,0.0012730649790035806,0.014373383071387337,0.017536516428649142,0.008887522862763224,0.0030899303810844056,0.006232507362900752,0.00836672810834093,0.020797073147841523,0.0026783699342552473,0.0005849315298069659,0.006241012578188977,0.008412628966490423,0.0035783296633895957,0.009268227422130995,0.01857537513197286,0.012436310790159983,0.009550038226854641,0.011921648465585221,0.00037885655541198204,0.006910947650310953,0.0058466787373208495,0.004621950689528786,0.012920501391791652,0.006954289578747126,0.011259526028664103,0.006350306535325221,0.002487526692604038,0.016961997955852914,0.004769929637276485,True
